Estacion,Geometry,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint,
Obrera,"{""type"": ""Point"", ""coordinates"": [-99.14392948, 19.41301153]}",14154,,Obrera,Metro 8,19.41301153,-99.14392948,Garibaldi - Constitución de 1917,METRO,"19.41301153,-99.14392948",14154
Observatorio,"{""type"": ""Point"", ""coordinates"": [-99.200669, 19.397486]}",14055,,Observatorio,Metro 1,19.397486,-99.200669,Observatorio - Pantitlán,METRO,"19.397486,-99.200669",14055
Oceanía,"{""type"": ""Point"", ""coordinates"": [-99.08690572, 19.44542916]}",14061,,Oceanía,Metro Línea 5 correspondencia con línea B.,19.44542916,-99.08690572,Pantitlán - Politécnico,METRO,"19.44542916,-99.08690572",14061
Oceanía,"{""type"": ""Point"", ""coordinates"": [-99.08683062, 19.44572255]}",14072,,Oceanía_1,Metro Línea B correspondencia con línea 5.,19.44572255,-99.08683062,Buenavista - Ciudad Azteca,METRO,"19.44572255,-99.08683062",14072
Olímpica,"{""type"": ""Point"", ""coordinates"": [-99.03298259, 19.52084286]}",14224,,Olímpica,Metro B,19.52084286,-99.03298259,Buenavista - Ciudad Azteca,METRO,"19.52084286,-99.03298259",14224
Olivos,"{""type"": ""Point"", ""coordinates"": [-99.05831337, 19.30328601]}",14231,,Olivos,Metro 12,19.30328601,-99.05831337,Tláhuac - Mixcoac,METRO,"19.30328601,-99.05831337",14231
Panteones,"{""type"": ""Point"", ""coordinates"": [-99.20294, 19.458219]}",14111,,Panteones,Metro 2,19.458219,-99.20294,Cuatro Caminos - Tasqueña,METRO,"19.458219,-99.20294",14111
Pantitlán,"{""type"": ""Point"", ""coordinates"": [-99.07505035, 19.41528826]}",14214,,Pantitlán,Metro Línea 5 correspondencia con líneas 1 9 y A.,19.41528826,-99.07505035,Pantitlán - Politécnico,METRO,"19.41528826,-99.07505035",14214
Pantitlán,"{""type"": ""Point"", ""coordinates"": [-99.07262564, 19.4146103]}",14215,,Pantitlán_1,Metro Línea A correspondencia con líneas 1 5 y 9.,19.4146103,-99.07262564,La Paz - Pantitlán,METRO,"19.4146103,-99.07262564",14215
Pantitlán,"{""type"": ""Point"", ""coordinates"": [-99.07434225, 19.41616858]}",14216,,Pantitlán_1_2,Metro Línea 1 correspondencia con líneas 5 9 y A.,19.41616858,-99.07434225,Observatorio - Pantitlán,METRO,"19.41616858,-99.07434225",14216
Pantitlán,"{""type"": ""Point"", ""coordinates"": [-99.072516, 19.414885]}",14226,,Pantitlán_1_3,Metro Línea 9 correspondencia con líneas 1 5 y A.,19.414885,-99.072516,Tacubaya - Pantitlán,METRO,"19.414885,-99.072516",14226
Parque de los Venados,"{""type"": ""Point"", ""coordinates"": [-99.15766239, 19.37046623]}",14240,,Parque de los Venados,Metro 12,19.37046623,-99.15766239,Tláhuac - Mixcoac,METRO,"19.37046623,-99.15766239",14240
Patriotismo,"{""type"": ""Point"", ""coordinates"": [-99.1784656, 19.40559422]}",14121,,Patriotismo_1_2,Metro 9,19.40559422,-99.1784656,Tacubaya - Pantitlán,METRO,"19.40559422,-99.1784656",14121
Peñón Viejo,"{""type"": ""Point"", ""coordinates"": [-99.0172863, 19.37291562]}",14199,,Peñón Viejo,Metro A,19.37291562,-99.0172863,La Paz - Pantitlán,METRO,"19.37291562,-99.0172863",14199
Periférico Oriente,"{""type"": ""Point"", ""coordinates"": [-99.074719, 19.317492]}",14233,,Periférico Ote,Metro 12,19.317492,-99.074719,Tláhuac - Mixcoac,METRO,"19.317492,-99.074719",14233
Pino Suárez,"{""type"": ""Point"", ""coordinates"": [-99.13303971, 19.42543703]}",14137,,Pino Suárez_1,Metro Línea 2 correspondencia con línea 1.,19.42543703,-99.13303971,Cuatro Caminos - Tasqueña,METRO,"19.42543703,-99.13303971",14137
Pino Suárez,"{""type"": ""Point"", ""coordinates"": [-99.13268566, 19.42595305]}",14161,,Pino Suárez_1_2,Metro Línea 1 correspondencia con línea 2.,19.42595305,-99.13268566,Observatorio - Pantitlán,METRO,"19.42595305,-99.13268566",14161
Plaza Aragón,"{""type"": ""Point"", ""coordinates"": [-99.02979612, 19.52822456]}",14209,,Plaza Aragón,Metro B,19.52822456,-99.02979612,Buenavista - Ciudad Azteca,METRO,"19.52822456,-99.02979612",14209
Polanco,"{""type"": ""Point"", ""coordinates"": [-99.19079304, 19.43337954]}",14114,,Polanco,Metro 7,19.43337954,-99.19079304,Barranca del Muerto - El Rosario,METRO,"19.43337954,-99.19079304",14114
Politécnico,"{""type"": ""Point"", ""coordinates"": [-99.148806, 19.499964]}",14188,,Politécnico,Metro 5,19.499964,-99.148806,Pantitlán - Politécnico,METRO,"19.499964,-99.148806",14188
Popotla,"{""type"": ""Point"", ""coordinates"": [-99.17546153, 19.45261196]}",14123,,Popotla,Metro 2,19.45261196,-99.17546153,Cuatro Caminos - Tasqueña,METRO,"19.45261196,-99.17546153",14123
Portales,"{""type"": ""Point"", ""coordinates"": [-99.14130092, 19.36976784]}",14085,,Portales,Metro 2,19.36976784,-99.14130092,Cuatro Caminos - Tasqueña,METRO,"19.36976784,-99.14130092",14085
Potrero,"{""type"": ""Point"", ""coordinates"": [-99.131748, 19.476413]}",14192,,Potrero_1_2,Metro 3,19.476413,-99.131748,Indios Verdes - Universidad,METRO,"19.476413,-99.131748",14192
Puebla,"{""type"": ""Point"", ""coordinates"": [-99.08233523, 19.40697045]}",14068,,Puebla,Metro 9,19.40697045,-99.08233523,Tacubaya - Pantitlán,METRO,"19.40697045,-99.08233523",14068
Ricardo Flores Magón,"{""type"": ""Point"", ""coordinates"": [-99.10342813, 19.43628327]}",14146,,R. Flores Magón,Metro B,19.43628327,-99.10342813,Buenavista - Ciudad Azteca,METRO,"19.43628327,-99.10342813",14146
Refinería,"{""type"": ""Point"", ""coordinates"": [-99.18985963, 19.46911098]}",14107,,Refinería,Metro 7,19.46911098,-99.18985963,Barranca del Muerto - El Rosario,METRO,"19.46911098,-99.18985963",14107
Revolución,"{""type"": ""Point"", ""coordinates"": [-99.15389657, 19.43880248]}",14050,,Revolución_1,Metro 2,19.43880248,-99.15389657,Cuatro Caminos - Tasqueña,METRO,"19.43880248,-99.15389657",14050
Río de los Remedios,"{""type"": ""Point"", ""coordinates"": [-99.04635072, 19.49024062]}",14222,,Río de los Remedios_1,Metro B,19.49024062,-99.04635072,Buenavista - Ciudad Azteca,METRO,"19.49024062,-99.04635072",14222
Romero Rubio,"{""type"": ""Point"", ""coordinates"": [-99.09420133, 19.44048194]}",14073,,Romero Rubio,Metro B,19.44048194,-99.09420133,Buenavista - Ciudad Azteca,METRO,"19.44048194,-99.09420133",14073
Salto del Agua,"{""type"": ""Point"", ""coordinates"": [-99.14207339, 19.42720768]}",14158,,Salto del Agua,Metro Línea 8 correspondencia con línea 1.,19.42720768,-99.14207339,Garibaldi - Constitución de 1917,METRO,"19.42720768,-99.14207339",14158
Salto del Agua,"{""type"": ""Point"", ""coordinates"": [-99.14331794, 19.42698509]}",42338,,Salto del Agua_1,Metro Línea 1 correspondencia con línea 8.,19.42698509,-99.14331794,Observatorio - Pantitlán,METRO,"19.42698509,-99.14331794",42338
San Andrés Tomatlán,"{""type"": ""Point"", ""coordinates"": [-99.10259128, 19.3272315]}",14236,,San Andrés Tomatlán,Metro 12,19.3272315,-99.10259128,Tláhuac - Mixcoac,METRO,"19.3272315,-99.10259128",14236
San Antonio,"{""type"": ""Point"", ""coordinates"": [-99.18661952, 19.38481791]}",14084,,San Antonio,Metro 7,19.38481791,-99.18661952,Barranca del Muerto - El Rosario,METRO,"19.38481791,-99.18661952",14084
San Antonio Abad,"{""type"": ""Point"", ""coordinates"": [-99.13429499, 19.4159055]}",14160,,San Antonio Abad,Metro 2,19.4159055,-99.13429499,Cuatro Caminos - Tasqueña,METRO,"19.4159055,-99.13429499",14160
San Cosme,"{""type"": ""Point"", ""coordinates"": [-99.16094542, 19.44185787]}",14098,,San Cosme,Metro 2,19.44185787,-99.16094542,Cuatro Caminos - Tasqueña,METRO,"19.44185787,-99.16094542",14098
San Joaquín,"{""type"": ""Point"", ""coordinates"": [-99.19160843, 19.44553033]}",14113,,San Joaquín,Metro 7,19.44553033,-99.19160843,Barranca del Muerto - El Rosario,METRO,"19.44553033,-99.19160843",14113
San Juan Letrán,"{""type"": ""Point"", ""coordinates"": [-99.14116144, 19.43098165]}",14142,,San Juan de Letrán,Metro 8,19.43098165,-99.14116144,Garibaldi - Constitución de 1917,METRO,"19.43098165,-99.14116144",14142
San Juan Letrán,"{""type"": ""Point"", ""coordinates"": [-99.114463, 19.431822]}",14147,,San Lázaro_1_4,Metro Línea B correspondencia con línea 1.,19.431822,-99.114463,Buenavista - Ciudad Azteca,METRO,"19.431822,-99.114463",14147
San Lázaro,"{""type"": ""Point"", ""coordinates"": [-99.11457539, 19.43079953]}",14179,,San Lázaro_1_5,Metro Línea 1 correspondencia con línea B.,19.43079953,-99.11457539,Observatorio - Pantitlán,METRO,"19.43079953,-99.11457539",14179
San Pedro los Pinos,"{""type"": ""Point"", ""coordinates"": [-99.18572903, 19.39122414]}",14063,,San Pedro de Los Pinos,Metro 7,19.39122414,-99.18572903,Barranca del Muerto - El Rosario,METRO,"19.39122414,-99.18572903",14063
Santa Anita,"{""type"": ""Point"", ""coordinates"": [-99.12136674, 19.40397512]}",14064,,Santa Anita,Metro Línea 8 correspondencia con línea 4.,19.40397512,-99.12136674,Garibaldi - Constitución de 1917,METRO,"19.40397512,-99.12136674",14064
Santa Anita,"{""type"": ""Point"", ""coordinates"": [-99.12120581, 19.40425847]}",14178,,Santa Anita_1,Metro Línea 4 correspondencia con líneas 8.,19.40425847,-99.12120581,Martín Carrera - Santa Anita,METRO,"19.40425847,-99.12120581",14178
Santa Marta,"{""type"": ""Point"", ""coordinates"": [-98.995894, 19.359804]}",14205,,Santa Marta,Metro A,19.359804,-98.995894,La Paz - Pantitlán,METRO,"19.359804,-98.995894",14205
Sevilla,"{""type"": ""Point"", ""coordinates"": [-99.17074084, 19.42189565]}",14118,,Sevilla,Metro 1,19.42189565,-99.17074084,Observatorio - Pantitlán,METRO,"19.42189565,-99.17074084",14118
Tacuba,"{""type"": ""Point"", ""coordinates"": [-99.188501, 19.458383]}",14108,,Tacuba,Metro Línea 7 correspondencia con línea 2.,19.458383,-99.188501,Barranca del Muerto - El Rosario,METRO,"19.458383,-99.188501",14108
Tacuba,"{""type"": ""Point"", ""coordinates"": [-99.18803573, 19.45913691]}",14112,,Tacuba_1,Metro Línea 2 correspondencia con línea 7.,19.45913691,-99.18803573,Cuatro Caminos - Tasqueña,METRO,"19.45913691,-99.18803573",14112
Tacubaya,"{""type"": ""Point"", ""coordinates"": [-99.18823957, 19.40213338]}",14054,,Tacubaya_1,Metro Línea 1 correspondencia con línea 7 y línea 9.,19.40213338,-99.18823957,Observatorio - Pantitlán,METRO,"19.40213338,-99.18823957",14054
Tacubaya,"{""type"": ""Point"", ""coordinates"": [-99.18664098, 19.40223457]}",14062,,Tacubaya_1_2,Metro Línea 7 correspondencia con línea 1 y línea 9.,19.40223457,-99.18664098,Barranca del Muerto - El Rosario,METRO,"19.40223457,-99.18664098",14062
Tacubaya,"{""type"": ""Point"", ""coordinates"": [-99.18734908, 19.40192086]}",14122,,Tacubaya_1_3,Metro Línea 9 correspondencia con línea 1 y línea 7.,19.40192086,-99.18734908,Tacubaya - Pantitlán,METRO,"19.40192086,-99.18734908",14122
Talismán,"{""type"": ""Point"", ""coordinates"": [-99.10779476, 19.47415847]}",14101,,Talismán_1_2,Metro 4,19.47415847,-99.10779476,Martín Carrera - Santa Anita,METRO,"19.47415847,-99.10779476",14101
Tasqueña,"{""type"": ""Point"", ""coordinates"": [-99.14105415, 19.34400644]}",14090,,Tasqueña,Metro 2,19.34400644,-99.14105415,Cuatro Caminos - Tasqueña,METRO,"19.34400644,-99.14105415",14090
Tecnológico,"{""type"": ""Point"", ""coordinates"": [-99.03568625, 19.51470467]}",14225,,Tecnológico,Metro B,19.51470467,-99.03568625,Buenavista - Ciudad Azteca,METRO,"19.51470467,-99.03568625",14225
Tepalcates,"{""type"": ""Point"", ""coordinates"": [-99.04651165, 19.39072824]}",14200,,Tepalcates_1,Metro A,19.39072824,-99.04651165,La Paz - Pantitlán,METRO,"19.39072824,-99.04651165",14200
Tepito,"{""type"": ""Point"", ""coordinates"": [-99.12323356, 19.44256606]}",14148,,Tepito,Metro B,19.44256606,-99.12323356,Buenavista - Ciudad Azteca,METRO,"19.44256606,-99.12323356",14148
Terminal Aérea,"{""type"": ""Point"", ""coordinates"": [-99.08820391, 19.43380448]}",14212,,Terminal Aérea,Metro 5,19.43380448,-99.08820391,Pantitlán - Politécnico,METRO,"19.43380448,-99.08820391",14212
Tezonco,"{""type"": ""Point"", ""coordinates"": [-99.065867, 19.306124]}",14232,,Tezonco,Metro 12,19.306124,-99.065867,Tláhuac - Mixcoac,METRO,"19.306124,-99.065867",14232
Tezozomoc,"{""type"": ""Point"", ""coordinates"": [-99.19593215, 19.49448847]}",14128,,Tezozómoc,Metro 6,19.49448847,-99.19593215,Martín Carrera - El Rosario,METRO,"19.49448847,-99.19593215",14128
Tláhuac,"{""type"": ""Point"", ""coordinates"": [-99.01443243, 19.28680057]}",14227,,Tláhuac,Metro 12,19.28680057,-99.01443243,Tláhuac - Mixcoac,METRO,"19.28680057,-99.01443243",14227
Tlaltenco,"{""type"": ""Point"", ""coordinates"": [-99.023829, 19.294555]}",14228,,Tlaltenco,Metro 12,19.294555,-99.023829,Tláhuac - Mixcoac,METRO,"19.294555,-99.023829",14228
Tlatelolco,"{""type"": ""Point"", ""coordinates"": [-99.1430819, 19.45520174]}",14100,,Tlatelolco_1,Metro 3,19.45520174,-99.1430819,Indios Verdes - Universidad,METRO,"19.45520174,-99.1430819",14100
U A M  I,"{""type"": ""Point"", ""coordinates"": [-99.074808, 19.350327]}",14201,,UAM-I,Metro 8,19.350327,-99.074808,Garibaldi - Constitución de 1917,METRO,"19.350327,-99.074808",14201
Universidad,"{""type"": ""Point"", ""coordinates"": [-99.17407751, 19.32433595]}",14076,,Universidad,Metro 3,19.32433595,-99.17407751,Indios Verdes - Universidad,METRO,"19.32433595,-99.17407751",14076
Valle Gómez,"{""type"": ""Point"", ""coordinates"": [-99.11988616, 19.45868169]}",14140,,Valle Gómez,Metro 5,19.45868169,-99.11988616,Pantitlán - Politécnico,METRO,"19.45868169,-99.11988616",14140
Vallejo,"{""type"": ""Point"", ""coordinates"": [-99.15479779, 19.49031142]}",14106,,Vallejo,Metro 6,19.49031142,-99.15479779,Martín Carrera - El Rosario,METRO,"19.49031142,-99.15479779",14106
Velódromo,"{""type"": ""Point"", ""coordinates"": [-99.10283804, 19.40811392]}",14176,,Velódromo,Metro 9,19.40811392,-99.10283804,Tacubaya - Pantitlán,METRO,"19.40811392,-99.10283804",14176
Viaducto,"{""type"": ""Point"", ""coordinates"": [-99.13663387, 19.400746990000002]}",14056,,Viaducto_1,Metro 2,19.40074699,-99.13663387,Cuatro Caminos - Tasqueña,METRO,"19.40074699,-99.13663387",14056
Villa de Aragón,"{""type"": ""Point"", ""coordinates"": [-99.06114578, 19.4613523]}",14211,,Villa de Aragón,Metro B,19.4613523,-99.06114578,Buenavista - Ciudad Azteca,METRO,"19.4613523,-99.06114578",14211
Villa de Cortés,"{""type"": ""Point"", ""coordinates"": [-99.13862944, 19.38746949]}",14092,,Villa de Cortés,Metro 2,19.38746949,-99.13862944,Cuatro Caminos - Tasqueña,METRO,"19.38746949,-99.13862944",14092
Viveros,"{""type"": ""Point"", ""coordinates"": [-99.17542934, 19.35376487]}",14081,,Viveros,Metro 3,19.35376487,-99.17542934,Indios Verdes - Universidad,METRO,"19.35376487,-99.17542934",14081
Xola,"{""type"": ""Point"", ""coordinates"": [-99.13758874, 19.3950293]}",14057,,Xola_1,Metro 2,19.3950293,-99.13758874,Cuatro Caminos - Tasqueña,METRO,"19.3950293,-99.13758874",14057
Zapata,"{""type"": ""Point"", ""coordinates"": [-99.1645503, 19.37073951]}",14077,,Zapata,Metro Línea 3 correspondencia con línea 12.,19.37073951,-99.1645503,Indios Verdes - Universidad,METRO,"19.37073951,-99.1645503",14077
Zapata,"{""type"": ""Point"", ""coordinates"": [-99.16540861, 19.3705472]}",42432,,Zapata_1,Metro Línea 12 correspondencia con línea 3.,19.3705472,-99.16540861,Tláhuac - Mixcoac,METRO,"19.3705472,-99.16540861",42432
Zapotitlán,"{""type"": ""Point"", ""coordinates"": [-99.03402328, 19.29639028]}",14229,,Zapotitlán,Metro 12,19.29639028,-99.03402328,Tláhuac - Mixcoac,METRO,"19.29639028,-99.03402328",14229
Zaragoza,"{""type"": ""Point"", ""coordinates"": [-99.08322573, 19.41179726]}",14217,,Zaragoza,Metro 1,19.41179726,-99.08322573,Observatorio - Pantitlán,METRO,"19.41179726,-99.08322573",14217
Zócalo,"{""type"": ""Point"", ""coordinates"": [-99.131879, 19.432602]}",14136,,Zócalo,Metro 2,19.432602,-99.131879,Cuatro Caminos - Tasqueña,METRO,"19.432602,-99.131879",14136
